# 2023-01-31 00:44:08.782709
LOCATION	TRANSLITERATE	TRANSLATE
(2,11,3)	لَهُمْ	kepada mereka
(2,11,4)	لَا	jangan
(2,11,5)	تُفْسِدُوا۟	kalian membuat kerusakan
(2,11,6)	فِى	di
(2,11,7)	ٱلْأَرْضِ	bumi
(2,11,8)	قَالُوٓا۟	mereka berkata
(2,11,9)	إِنَّمَا	sesungguhnya hanyalah
(2,11,10)	نَحْنُ	kami
(2,11,11)	مُصْلِحُونَ	orang-orang yang melakukan perbaikan
(2,12,1)	أَلَآ	ingatlah
(2,12,2)	إِنَّهُمْ	sesungguhnya mereka
(2,12,3)	هُمُ	mereka
(2,12,4)	ٱلْمُفْسِدُونَ	orang-orang yang membuat kerusakan
(2,12,5)	وَلَٰكِن	akan tetapi
(2,12,6)	لَّا	tidak
(2,12,7)	يَشْعُرُونَ	mereka sadar
(2,13,1)	وَإِذَا	dan apabila
(2,13,2)	قِيلَ	dikatakan
(2,13,3)	لَهُمْ	kepada mereka
(2,13,4)	ءَامِنُوا۟	beriman
(2,13,5)	كَمَآ	sebagaimana
(2,13,6)	ءَامَنَ	telah beriman
(2,13,7)	ٱلنَّاسُ	manusia
(2,13,8)	قَالُوٓا۟	mereka berkata
(2,13,9)	أَنُؤْمِنُ	apakah kami beriman
(2,13,10)	كَمَآ	sebagaimana
(2,13,11)	ءَامَنَ	beriman
(2,13,12)	ٱلسُّفَهَآءُۗ	orang-orang bodoh
(2,13,13)	أَلَآ	ingatlah
(2,13,14)	إِنَّهُمْ	sesungguhnya mereka
(2,13,15)	هُمُ	mereka
(2,13,16)	ٱلسُّفَهَآءُ	orang-orang bodoh
(2,13,17)	وَلَٰكِن	akan tetapi
(2,13,18)	لَّا	tidak
(2,13,19)	يَعْلَمُونَ	mereka mengetahui
(2,14,1)	وَإِذَا	dan apabila
(2,14,2)	لَقُوا۟	mereka berjumpa
(2,14,3)	ٱلَّذِينَ	orang-orang yang
(2,14,4)	ءَامَنُوا۟	beriman
(2,14,5)	قَالُوٓا۟	mereka berkata
(2,14,6)	ءَامَنَّا	kami telah beriman
(2,14,7)	وَإِذَا	dan apabila
(2,14,8)	خَلَوْا۟	mereka kembali
(2,14,9)	إِلَىٰ	kepada
(2,14,10)	شَيَٰطِينِهِمْ	syaitan-syaitan mereka
(2,14,11)	قَالُوٓا۟	mereka berkata
(2,14,12)	إِنَّا	sesungguhnya kami
(2,14,13)	مَعَكُمْ	bersama kalian
(2,14,14)	إِنَّمَا	sesungguhnya hanyalah
(2,14,15)	نَحْنُ	kami
(2,14,16)	مُسْتَهْزِءُونَ	orang-orang yang berolok-olok
(2,15,1)	ٱللَّهُ	Allah
(2,15,2)	يَسْتَهْزِئُ	akan memperolok-olok
(2,15,3)	بِهِمْ	kepada mereka
(2,15,4)	وَيَمُدُّهُمْ	dan membiarkan mereka
(2,15,5)	فِى	dalam
(2,15,6)	طُغْيَٰنِهِمْ	kedurhakaan mereka
(2,15,7)	يَعْمَهُونَ	terombang-ambing
(2,16,1)	أُو۟لَٰٓئِكَ	mereka itu
(2,16,2)	ٱلَّذِينَ	orang-orang yang
(2,16,3)	ٱشْتَرَوُا۟	mereka membeli
(2,16,4)	ٱلضَّلَٰلَةَ	kesesatan
(2,16,5)	بِٱلْهُدَىٰ	dengan petunjuk
(2,16,6)	فَمَا	maka tidak
(2,16,7)	رَبِحَت	beruntung
(2,16,8)	تِّجَٰرَتُهُمْ	perniagaan mereka
(2,16,9)	وَمَا	dan tidak
(2,16,10)	كَانُوا۟	adalah mereka
(2,16,11)	مُهْتَدِينَ	orang-orang yang mendapat petunjuk
(2,17,1)	مَثَلُهُمْ	perumpamaan mereka
(2,17,2)	كَمَثَلِ	seperti umpama
(2,17,3)	ٱلَّذِى	orang yang
(2,17,4)	ٱسْتَوْقَدَ	menyalakan
(2,17,5)	نَارًا	api
(2,17,6)	فَلَمَّآ	maka setelah
(2,17,7)	أَضَآءَتْ	menerangi
(2,17,8)	مَا	apa
(2,17,9)	حَوْلَهُۥ	disekelilingnya
(2,17,10)	ذَهَبَ	menghilangkan
(2,17,11)	ٱللَّهُ	Allah
(2,17,12)	بِنُورِهِمْ	dengan cahaya mereka
(2,17,13)	وَتَرَكَهُمْ	dan membiarkan mereka
(2,17,14)	فِى	dalam
(2,17,15)	ظُلُمَٰتٍ	kegelapan
(2,17,16)	لَّا	tidak
(2,17,17)	يُبْصِرُونَ	mereka melihat
(2,18,1)	صُمٌّۢ	(mereka) tuli
(2,18,2)	بُكْمٌ	(mereka) bisu
(2,18,3)	عُمْىٌ	(mereka) buta
(2,18,4)	فَهُمْ	maka mereka
(2,18,5)	لَا	tidak
(2,18,6)	يَرْجِعُونَ	mereka akan kembali
(2,19,1)	أَوْ	atau
(2,19,2)	كَصَيِّبٍ	seperti hujan lebat
(2,19,3)	مِّنَ	dari
(2,19,4)	ٱلسَّمَآءِ	langit
(2,19,5)	فِيهِ	didalamnya
(2,19,6)	ظُلُمَٰتٌ	gelap gulita
(2,19,7)	وَرَعْدٌ	dan guruh
(2,19,8)	وَبَرْقٌ	dan kilat
(2,19,9)	يَجْعَلُونَ	mereka menyumbat
(2,19,10)	أَصَٰبِعَهُمْ	jari-jari mereka
(2,19,11)	فِىٓ	dalam
(2,19,12)	ءَاذَانِهِم	telinga mereka
(2,19,13)	مِّنَ	dari
(2,19,14)	ٱلصَّوَٰعِقِ	petir
(2,19,15)	حَذَرَ	takut
(2,19,16)	ٱلْمَوْتِۚ	mati
(2,19,17)	وَٱللَّهُ	dan Allah
(2,19,18)	مُحِيطٌۢ	meliputi
(2,19,19)	بِٱلْكَٰفِرِينَ	terhadap orang-orang kafir
(2,20,1)	يَكَادُ	hampir-hampir
(2,20,2)	ٱلْبَرْقُ	kilat
(2,20,3)	يَخْطَفُ	menyambar
(2,20,4)	أَبْصَٰرَهُمْۖ	penglihatan mereka
(2,20,5)	كُلَّمَآ	setiap
(2,20,6)	أَضَآءَ	bersinar
(2,20,7)	لَهُم	kepada mereka
(2,20,8)	مَّشَوْا۟	mereka berjalan
(2,20,9)	فِيهِ	didalamnya
(2,20,10)	وَإِذَآ	dan apabila
(2,20,11)	أَظْلَمَ	menjadi gelap
(2,20,12)	عَلَيْهِمْ	atas mereka
(2,20,13)	قَامُوا۟ۚ	berhenti
(2,20,14)	وَلَوْ	dan bila
(2,20,15)	شَآءَ	menghendaki
(2,20,16)	ٱللَّهُ	Allah
(2,20,17)	لَذَهَبَ	niscaya Ia melenyapkan
(2,20,18)	بِسَمْعِهِمْ	dengan pendengaran mereka
(2,20,19)	وَأَبْصَٰرِهِمْۚ	dan penglihatan mereka
(2,20,20)	إِنَّ	sesungguhnya
(2,20,21)	ٱللَّهَ	Allah
(2,20,22)	عَلَىٰ	atas
(2,20,23)	كُلِّ	setiap
(2,20,24)	شَىْءٍ	sesuatu
(2,20,25)	قَدِيرٌ	Maha Kuasa
(2,21,1)	يَٰٓأَيُّهَا	wahai
(2,21,2)	ٱلنَّاسُ	manusia
(2,21,3)	ٱعْبُدُوا۟	sembahlah
(2,21,4)	رَبَّكُمُ	Tuhan kalian
(2,21,5)	ٱلَّذِى	yang
(2,21,6)	خَلَقَكُمْ	menciptakan kalian
(2,21,7)	وَٱلَّذِينَ	dan orang-orang yang
(2,21,8)	مِن	dari
(2,21,9)	قَبْلِكُمْ	sebelum kalian
(2,21,10)	لَعَلَّكُمْ	agar kalian
(2,21,11)	تَتَّقُونَ	(kamu) bertakwa
(2,22,1)	ٱلَّذِى	yang
(2,22,2)	جَعَلَ	menjadikan
(2,22,3)	لَكُمُ	bagi kalian
(2,22,4)	ٱلْأَرْضَ	bumi
(2,22,5)	فِرَٰشًا	hamparan
(2,22,6)	وَٱلسَّمَآءَ	dan langit
(2,22,7)	بِنَآءً	bangunan
(2,22,8)	وَأَنزَلَ	dan menurunkan
(2,22,9)	مِنَ	dari
(2,22,10)	ٱلسَّمَآءِ	langit
(2,22,11)	مَآءً	air
(2,22,12)	فَأَخْرَجَ	maka (Dia) mengeluarkan
(2,22,13)	بِهِۦ	dengan itu
(2,22,14)	مِنَ	dari
(2,22,15)	ٱلثَّمَرَٰتِ	buah-buahan
(2,22,16)	رِزْقًا	rezki
(2,22,17)	لَّكُمْۖ	bagi kalian
(2,22,18)	فَلَا	maka jangan
(2,22,19)	تَجْعَلُوا۟	kalian jadikan
(2,22,20)	لِلَّهِ	bagi Allah
(2,22,21)	أَندَادًا	sekutu-sekutu
(2,22,22)	وَأَنتُمْ	dan kalian
(2,22,23)	تَعْلَمُونَ	(kalian) mengetahui
(2,23,1)	وَإِن	dan jika
(2,23,2)	كُنتُمْ	kalian adalah
(2,23,3)	فِى	dalam
(2,23,4)	رَيْبٍ	keraguan
(2,23,5)	مِّمَّا	dari apa yang
(2,23,6)	نَزَّلْنَا	Kami turunkan
(2,23,7)	عَلَىٰ	atas
(2,23,8)	عَبْدِنَا	hamba Kami
(2,23,9)	فَأْتُوا۟	maka datangkan/buatlah
(2,23,10)	بِسُورَةٍ	dengan sebuah surat
(2,23,11)	مِّن	dari
(2,23,12)	مِّثْلِهِۦ	seperti itu
(2,23,13)	وَٱدْعُوا۟	dan panggillah
(2,23,14)	شُهَدَآءَكُم	saksi-saksi (penolongmu)
(2,23,15)	مِّن	dari
(2,23,16)	دُونِ	selain
(2,23,17)	ٱللَّهِ	Allah
(2,23,18)	إِن	jika
(2,23,19)	كُنتُمْ	kalian adalah
(2,23,20)	صَٰدِقِينَ	orang-orang yang benar
(2,24,1)	فَإِن	maka jika
(2,24,2)	لَّمْ	tidak
(2,24,3)	تَفْعَلُوا۟	kalian kerjakan
(2,24,4)	وَلَن	dan tidak akan
(2,24,5)	تَفْعَلُوا۟	kalian kerjakan
(2,24,6)	فَٱتَّقُوا۟	maka takutlah kalian
(2,24,7)	ٱلنَّارَ	api neraka
(2,24,8)	ٱلَّتِى	yang
(2,24,9)	وَقُودُهَا	bahan bakarnya
(2,24,10)	ٱلنَّاسُ	manusia
(2,24,11)	وَٱلْحِجَارَةُۖ	dan batu
(2,24,12)	أُعِدَّتْ	disediakan
(2,24,13)	لِلْكَٰفِرِينَ	bagi orang-orang kafir
(2,25,1)	وَبَشِّرِ	dan sampaikan kabar gembira
(2,25,2)	ٱلَّذِينَ	orang-orang yang
(2,25,3)	ءَامَنُوا۟	beriman
(2,25,4)	وَعَمِلُوا۟	dan mereka berbuat
(2,25,5)	ٱلصَّٰلِحَٰتِ	kebaikan
(2,25,6)	أَنَّ	sesungguhnya
(2,25,7)	لَهُمْ	bagi mereka
(2,25,8)	جَنَّٰتٍ	surga-surga
(2,25,9)	تَجْرِى	mengalir
(2,25,10)	مِن	dari
(2,25,11)	تَحْتِهَا	bawahnya
(2,25,12)	ٱلْأَنْهَٰرُۖ	sungai-sungai
(2,25,13)	كُلَّمَا	setiap kali
(2,25,14)	رُزِقُوا۟	mereka diberi rezki
(2,25,15)	مِنْهَا	dari padanya
(2,25,16)	مِن	dari
(2,25,17)	ثَمَرَةٍ	buah-buahan
(2,25,18)	رِّزْقًاۙ	(sebagai) rezki
(2,25,19)	قَالُوا۟	mereka berkata
(2,25,20)	هَٰذَا	ini
(2,25,21)	ٱلَّذِى	yang
(2,25,22)	رُزِقْنَا	direzkikan kepada kami
(2,25,23)	مِن	dari
(2,25,24)	قَبْلُۖ	dahulu
(2,25,25)	وَأُتُوا۟	dan mereka diberi
(2,25,26)	بِهِۦ	dengannya
(2,25,27)	مُتَشَٰبِهًاۖ	yang serupa
(2,25,28)	وَلَهُمْ	dan bagi mereka
(2,25,29)	فِيهَآ	didalamnya
(2,25,30)	أَزْوَٰجٌ	isteri-isteri
(2,25,31)	مُّطَهَّرَةٌۖ	yang suci
(2,25,32)	وَهُمْ	dan mereka
(2,25,33)	فِيهَا	didalamnya
(2,25,34)	خَٰلِدُونَ	kekal
(2,26,1)	إِنَّ	sesungguhnya
(2,26,2)	ٱللَّهَ	Allah
(2,26,3)	لَا	tidak
(2,26,4)	يَسْتَحْىِۦٓ	segan
(2,26,5)	أَن	untuk
(2,26,6)	يَضْرِبَ	membuat
(2,26,7)	مَثَلًا	perumpamaan
(2,26,8)	مَّا	berupa
(2,26,9)	بَعُوضَةً	nyamuk
(2,26,10)	فَمَا	bahkan apa
(2,26,11)	فَوْقَهَاۚ	lebih rendah darinya
(2,26,12)	فَأَمَّا	maka adapun
(2,26,13)	ٱلَّذِينَ	orang-orang yang
(2,26,14)	ءَامَنُوا۟	beriman
(2,26,15)	فَيَعْلَمُونَ	maka mereka mengetahui
(2,26,16)	أَنَّهُ	bahwasanya ia
(2,26,17)	ٱلْحَقُّ	benar
(2,26,18)	مِن	dari
(2,26,19)	رَّبِّهِمْۖ	Tuhannya
(2,26,20)	وَأَمَّا	dan adapun
(2,26,21)	ٱلَّذِينَ	orang-orang yang
(2,26,22)	كَفَرُوا۟	kafir/ingkar
(2,26,23)	فَيَقُولُونَ	maka mereka berkata
(2,26,24)	مَاذَآ	apa yang
(2,26,25)	أَرَادَ	menghendaki
(2,26,26)	ٱللَّهُ	Allah
(2,26,27)	بِهَٰذَا	dengan ini
(2,26,28)	مَثَلاًۘ	perumpamaan
(2,26,29)	يُضِلُّ	Dia menyesatkan
(2,26,30)	بِهِۦ	dengannya
(2,26,31)	كَثِيرًا	banyak
(2,26,32)	وَيَهْدِى	dan Dia memberi petunjuk
(2,26,33)	بِهِۦ	dengannya
(2,26,34)	كَثِيرًاۚ	banyak
(2,26,35)	وَمَا	dan tidak
(2,26,36)	يُضِلُّ	Dia sesatkan
(2,26,37)	بِهِۦٓ	dengannya
(2,26,38)	إِلَّا	kecuali
(2,26,39)	ٱلْفَٰسِقِينَ	orang-orang fasik
(2,27,1)	ٱلَّذِينَ	orang-orang yang
(2,27,2)	يَنقُضُونَ	melanggar
(2,27,3)	عَهْدَ	perjanjian
(2,27,4)	ٱللَّهِ	Allah
(2,27,5)	مِنۢ	dari
(2,27,6)	بَعْدِ	sesudah
(2,27,7)	مِيثَٰقِهِۦ	meneguhkannya
(2,27,8)	وَيَقْطَعُونَ	dan mereka memutuskan
(2,27,9)	مَآ	apa
(2,27,10)	أَمَرَ	yang diperintahkan
(2,27,11)	ٱللَّهُ	Allah
(2,27,12)	بِهِۦٓ	dengannya
(2,27,13)	أَن	bahwa/untuk
(2,27,14)	يُوصَلَ	menghubungkan
(2,27,15)	وَيُفْسِدُونَ	dan mereka membuat kerusakan
(2,27,16)	فِى	di
(2,27,17)	ٱلْأَرْضِۚ	bumi
(2,27,18)	أُو۟لَٰٓئِكَ	mereka itu
(2,27,19)	هُمُ	mereka
(2,27,20)	ٱلْخَٰسِرُونَ	orang-orang yang rugi
(2,28,1)	كَيْفَ	bagaimana
(2,28,2)	تَكْفُرُونَ	kalian kafir
(2,28,3)	بِٱللَّهِ	kepada Allah
(2,28,4)	وَكُنتُمْ	dan kalian
(2,28,5)	أَمْوَٰتًا	orang-orang mati
(2,28,6)	فَأَحْيَٰكُمْۖ	maka Dia menghidupkan kalian
(2,28,7)	ثُمَّ	kemudian
(2,28,8)	يُمِيتُكُمْ	Dia mematikan kalian
(2,28,9)	ثُمَّ	kemudian
(2,28,10)	يُحْيِيكُمْ	Dia menghidupkan kalian
(2,28,11)	ثُمَّ	kemudian
(2,28,12)	إِلَيْهِ	kepadaNya
(2,28,13)	تُرْجَعُونَ	kalian dikembalikan
(2,29,1)	هُوَ	Dialah
(2,29,2)	ٱلَّذِى	yang
(2,29,3)	خَلَقَ	menciptakan
(2,29,4)	لَكُم	bagi kalian
(2,29,5)	مَّا	apa
(2,29,6)	فِى	pada
(2,29,7)	ٱلْأَرْضِ	bumi
(2,29,8)	جَمِيعًا	seluruhnya
(2,29,9)	ثُمَّ	kemudian
(2,29,10)	ٱسْتَوَىٰٓ	Dia menuju
(2,29,11)	إِلَى	kepada
(2,29,12)	ٱلسَّمَآءِ	langit
(2,29,13)	فَسَوَّىٰهُنَّ	maka Dia menyempurnakan
(2,29,14)	سَبْعَ	tujuh
(2,29,15)	سَمَٰوَٰتٍۚ	langit
(2,29,16)	وَهُوَ	dan Dia
(2,29,17)	بِكُلِّ	dengan segala
(2,29,18)	شَىْءٍ	sesuatu
(2,29,19)	عَلِيمٌ	Maha Mengetahui
(2,30,1)	وَإِذْ	dan ketika
(2,30,2)	قَالَ	berfirman
(2,30,3)	رَبُّكَ	Tuhanmu
(2,30,4)	لِلْمَلَٰٓئِكَةِ	kepada para malaikat
(2,30,5)	إِنِّى	sesungguhnya Aku
(2,30,6)	جَاعِلٌ	pencipta
(2,30,7)	فِى	di
(2,30,8)	ٱلْأَرْضِ	bumi
(2,30,9)	خَلِيفَةًۖ	khalifah (wakil)
(2,30,10)	قَالُوٓا۟	mereka berkata
(2,30,11)	أَتَجْعَلُ	apakah Engkau jadikan
(2,30,12)	فِيهَا	di dalamnya
(2,30,13)	مَن	orang
(2,30,14)	يُفْسِدُ	merusak
(2,30,15)	فِيهَا	didalamnya
(2,30,16)	وَيَسْفِكُ	dan menumpahkan
(2,30,17)	ٱلدِّمَآءَ	darah
(2,30,18)	وَنَحْنُ	dan kami
(2,30,19)	نُسَبِّحُ	kami bertasbih
(2,30,20)	بِحَمْدِكَ	dengan memujiMu
(2,30,21)	وَنُقَدِّسُ	dan kami mensucikan
(2,30,22)	لَكَۖ	bagiMu
(2,30,23)	قَالَ	Dia berfirman
(2,30,24)	إِنِّىٓ	sesungguhnya Aku
(2,30,25)	أَعْلَمُ	Aku lebih mengetahui
(2,30,26)	مَا	apa
(2,30,27)	لَا	tidak
(2,30,28)	تَعْلَمُونَ	(kalian) mengetahui
(2,31,1)	وَعَلَّمَ	dan Dia mengajarkan
(2,31,2)	ءَادَمَ	Adam
(2,31,3)	ٱلْأَسْمَآءَ	nama-nama
(2,31,4)	كُلَّهَا	seluruhnya
(2,31,5)	ثُمَّ	kemudian
(2,31,6)	عَرَضَهُمْ	Dia mengemukakannya
(2,31,7)	عَلَى	atas/kepada
(2,31,8)	ٱلْمَلَٰٓئِكَةِ	Malaikat
(2,31,9)	فَقَالَ	maka Dia berfirman
(2,31,10)	أَنۢبِـُٔونِى	terangkan kepadaKu
(2,31,11)	بِأَسْمَآءِ	dengan nama-nama
(2,31,12)	هَٰٓؤُلَآءِ	ini semua
(2,31,13)	إِن	jika
(2,31,14)	كُنتُمْ	kalian adalah
(2,31,15)	صَٰدِقِينَ	orang-orang yang benar
(2,32,1)	قَالُوا۟	mereka berkata
(2,32,2)	سُبْحَٰنَكَ	Maha Suci Engkau
(2,32,3)	لَا	tidak ada
(2,32,4)	عِلْمَ	pengetahuan
(2,32,5)	لَنَآ	bagi kami
(2,32,6)	إِلَّا	kecuali
(2,32,7)	مَا	apa
(2,32,8)	عَلَّمْتَنَآۖ	Engkau ajarkan kepada kami
(2,32,9)	إِنَّكَ	sesungguhnya Engkau
(2,32,10)	أَنتَ	Engkau
(2,32,11)	ٱلْعَلِيمُ	Maha Mengetahui
(2,32,12)	ٱلْحَكِيمُ	Maha Bijaksana
(2,33,1)	قَالَ	Dia berfirman
(2,33,2)	يَٰٓـَٔادَمُ	wahai adam
(2,33,3)	أَنۢبِئْهُم	terangkan kepada mereka
(2,33,4)	بِأَسْمَآئِهِمْۖ	dengan nama-namanya
(2,33,5)	فَلَمَّآ	maka setelah
(2,33,6)	أَنۢبَأَهُم	ia menerangkan kepada mereka
(2,33,7)	بِأَسْمَآئِهِمْ	dengan nama-namanya
(2,33,8)	قَالَ	Dia berfirman
(2,33,9)	أَلَمْ	bukankah
(2,33,10)	أَقُل	Aku katakan
(2,33,11)	لَّكُمْ	bagi kalian
(2,33,12)	إِنِّىٓ	sesungguhnya Aku
(2,33,13)	أَعْلَمُ	Aku mengetahui
(2,33,14)	غَيْبَ	kegaiban
(2,33,15)	ٱلسَّمَٰوَٰتِ	langit(jamak)
(2,33,16)	وَٱلْأَرْضِ	dan bumi
(2,33,17)	وَأَعْلَمُ	dan Aku mengetahui
(2,33,18)	مَا	apa
(2,33,19)	تُبْدُونَ	kamu lahirkan
(2,33,20)	وَمَا	dan apa
(2,33,21)	كُنتُمْ	kalian adalah
(2,33,22)	تَكْتُمُونَ	kamu sembunyikan
(2,34,1)	وَإِذْ	dan ketika
(2,34,2)	قُلْنَا	Kami berfirman
(2,34,3)	لِلْمَلَٰٓئِكَةِ	kepada para malaikat
(2,34,4)	ٱسْجُدُوا۟	sujudlah
(2,34,5)	لِءَادَمَ	kepada Adam
(2,34,6)	فَسَجَدُوٓا۟	maka mereka sujud
(2,34,7)	إِلَّآ	kecuali
(2,34,8)	إِبْلِيسَ	iblis
(2,34,9)	أَبَىٰ	ia enggan
(2,34,10)	وَٱسْتَكْبَرَ	dan ia sombong
(2,34,11)	وَكَانَ	dan ia adalah
(2,34,12)	مِنَ	dari
(2,34,13)	ٱلْكَٰفِرِينَ	orang-orang kafir
(2,35,1)	وَقُلْنَا	dan Kami berfirman
(2,35,2)	يَٰٓـَٔادَمُ	wahai adam
(2,35,3)	ٱسْكُنْ	tinggallah
(2,35,4)	أَنتَ	kamu
(2,35,5)	وَزَوْجُكَ	dan isterimu
(2,35,6)	ٱلْجَنَّةَ	surga
(2,35,7)	وَكُلَا	dan makanlah
(2,35,8)	مِنْهَا	daripadanya
(2,35,9)	رَغَدًا	(hingga) puas/senang
(2,35,10)	حَيْثُ	sebagaimana
